Date/Time,Lat,Lon,Base,locationID
2014-04-04 15:06:00,40.7529,-73.9678,B02682,
2014-04-15 12:51:00,40.7451,-73.9757,B02682,
2014-04-06 14:07:00,40.7591,-73.9825,B02598,
2014-04-02 06:20:00,40.7542,-73.9943,B02682,
2014-04-05 20:38:00,40.7622,-73.9715,B02682,
2014-04-09 19:12:00,40.7406,-74.0077,B02598,
2014-04-04 06:16:00,40.6673,-73.7944,B02617,
2014-04-24 19:39:00,40.7443,-73.9963,B02682,
2014-04-17 13:21:00,40.7602,-73.9746,B02617,
2014-04-28 21:59:00,40.738,-73.9889,B02682,
2014-04-28 04:58:00,40.7603,-73.9879,B02682,
2014-04-30 15:00:00,40.7246,-73.9935,B02598,
2014-04-08 08:25:00,40.6946,-73.991,B02598,
2014-04-13 17:11:00,40.7642,-73.9884,B02512,
2014-04-24 18:23:00,40.7463,-73.9565,B02682,
2014-04-12 22:51:00,40.7213,-73.9877,B02682,
2014-04-18 16:01:00,40.723,-73.9986,B02764,
2014-04-23 12:06:00,40.7579,-73.9889,B02682,
2014-04-21 21:36:00,40.7512,-73.9715,B02598,
2014-04-02 07:46:00,40.7785,-73.9454,B02598,
2014-04-30 15:27:00,40.7353,-74.0033,B02682,
2014-04-19 11:08:00,40.6773,-73.9627,B02598,
2014-04-01 19:59:00,40.7626,-73.9768,B02682,
2014-04-25 20:22:00,40.7112,-74.0064,B02682,
2014-04-15 17:44:00,40.7695,-73.9803,B02512,
2014-04-20 00:13:00,40.7521,-73.9854,B02617,
2014-04-30 17:26:00,40.6899,-73.9818,B02512,
2014-04-25 17:35:00,40.7063,-74.0168,B02682,
2014-04-12 10:12:00,40.7738,-73.9459,B02598,
2014-04-14 16:03:00,40.7546,-73.9844,B02617,
2014-04-08 06:09:00,40.7721,-73.9521,B02598,
2014-04-19 14:56:00,40.6692,-73.7994,B02682,
2014-04-06 14:28:00,40.7423,-74.0313,B02682,
2014-04-21 21:53:00,40.6425,-74.0151,B02598,
2014-04-21 04:53:00,40.7388,-73.981,B02682,
2014-04-15 14:28:00,40.7247,-73.9985,B02598,
2014-04-10 22:48:00,40.781,-73.9812,B02682,
2014-04-16 09:46:00,40.7777,-73.9749,B02598,
2014-04-12 20:47:00,40.7642,-73.9646,B02682,
2014-04-25 08:11:00,40.7188,-73.9534,B02682,
2014-04-15 22:45:00,40.7216,-73.9978,B02682,
2014-04-11 22:50:00,40.7366,-74.0065,B02682,
2014-04-25 18:38:00,40.737,-73.863,B02598,
2014-04-10 08:32:00,40.7287,-73.9994,B02598,
2014-04-29 15:28:00,40.6936,-73.9905,B02598,
2014-04-03 13:53:00,40.7416,-74.0069,B02682,
2014-04-02 20:51:00,40.7458,-73.988,B02598,
2014-04-18 22:49:00,40.7388,-73.9958,B02617,
2014-04-24 13:18:00,40.7434,-73.9941,B02617,
2014-04-30 17:36:00,40.7626,-73.9692,B02682,
2014-04-11 07:23:00,40.7931,-73.9769,B02617,
2014-04-26 23:56:00,40.7284,-73.9997,B02598,
2014-04-15 18:07:00,40.7767,-73.9526,B02617,
2014-04-25 19:48:00,40.7325,-73.9913,B02598,
2014-04-11 06:57:00,40.721,-73.9887,B02617,
2014-04-01 18:18:00,40.7502,-73.9852,B02598,
2014-04-16 00:34:00,40.6949,-73.953,B02617,
2014-04-08 17:14:00,40.7111,-74.0159,B02598,
2014-04-02 07:54:00,40.7516,-73.9939,B02617,
2014-04-04 07:26:00,40.7322,-74.0021,B02617,
2014-04-02 15:39:00,40.7266,-73.9774,B02598,
2014-04-24 17:12:00,40.7034,-74.0144,B02598,
2014-04-07 12:01:00,40.7249,-74.0059,B02512,
2014-04-04 19:09:00,40.774,-73.8719,B02598,
2014-04-06 16:37:00,40.7191,-73.9831,B02682,
2014-04-15 08:06:00,40.7192,-74.0038,B02617,
2014-04-21 16:33:00,40.7608,-73.9904,B02512,
2014-04-11 17:50:00,40.7547,-73.9752,B02617,
2014-04-09 18:33:00,40.711,-74.0057,B02617,
2014-04-22 19:38:00,40.7432,-74.0074,B02598,
2014-04-06 07:25:00,40.7384,-73.9874,B02512,
2014-04-11 17:21:00,40.7448,-73.9809,B02682,
2014-04-02 17:46:00,40.7108,-74.0093,B02598,
2014-04-21 16:05:00,40.7864,-73.9801,B02682,
2014-04-27 18:44:00,40.7229,-73.9914,B02512,
2014-04-17 00:15:00,40.7406,-74.0056,B02682,
2014-04-24 16:38:00,40.7712,-73.8663,B02682,
2014-04-16 18:34:00,40.7593,-73.9808,B02598,
2014-04-29 16:20:00,40.7622,-73.9824,B02682,
2014-04-03 21:22:00,40.7125,-74.0091,B02512,
2014-04-28 07:02:00,40.7629,-73.9601,B02598,
2014-04-23 18:46:00,40.7455,-73.9913,B02598,
2014-04-23 20:10:00,40.725,-73.9971,B02598,
2014-04-08 08:10:00,40.7436,-74.0006,B02682,
2014-04-09 20:12:00,40.7564,-73.9746,B02682,
2014-04-27 17:57:00,40.7224,-73.9862,B02598,
2014-04-13 15:18:00,40.8177,-73.8568,B02682,
2014-04-10 13:01:00,40.7514,-74.0031,B02598,
2014-04-10 14:59:00,40.7596,-73.9724,B02617,
2014-04-05 01:17:00,40.7424,-73.9857,B02682,
2014-04-12 16:45:00,40.7794,-73.962,B02764,
2014-04-07 16:22:00,40.8147,-73.9603,B02682,
2014-04-23 17:06:00,40.7219,-73.9997,B02617,
2014-04-12 22:04:00,40.7642,-73.9791,B02682,
